"Grouping","#Users|any|enrolled","#Users|any|opened","#Users|any|submitted","#Users|any|c50%","#Users|aca-dt-mini-py-microbit-intro|enrolled","#Users|aca-dt-mini-py-microbit-intro|opened","#Users|aca-dt-mini-py-microbit-intro|submitted","#Users|aca-dt-mini-py-microbit-intro|c50%","#Users|aca-dt-56-bk-cookie|enrolled","#Users|aca-dt-56-bk-cookie|opened","#Users|aca-dt-56-bk-cookie|submitted","#Users|aca-dt-56-bk-cookie|c50%","#Users|aca-dt-56-bk-turtle|enrolled","#Users|aca-dt-56-bk-turtle|opened","#Users|aca-dt-56-bk-turtle|submitted","#Users|aca-dt-56-bk-turtle|c50%","#Users|aca-dt-56-bk-chatbot|enrolled","#Users|aca-dt-56-bk-chatbot|opened","#Users|aca-dt-56-bk-chatbot|submitted","#Users|aca-dt-56-bk-chatbot|c50%","#Users|aca-dt-56-bk-invaders|enrolled","#Users|aca-dt-56-bk-invaders|opened","#Users|aca-dt-56-bk-invaders|submitted","#Users|aca-dt-56-bk-invaders|c50%","#Users|aca-dt-5-bk-biology|enrolled","#Users|aca-dt-5-bk-biology|opened","#Users|aca-dt-5-bk-biology|submitted","#Users|aca-dt-5-bk-biology|c50%","#Users|aca-dt-78-js-cookie|enrolled","#Users|aca-dt-78-js-cookie|opened","#Users|aca-dt-78-js-cookie|submitted","#Users|aca-dt-78-js-cookie|c50%","#Users|aca-dt-78-js-invaders|enrolled","#Users|aca-dt-78-js-invaders|opened","#Users|aca-dt-78-js-invaders|submitted","#Users|aca-dt-78-js-invaders|c50%","#Users|aca-dt-78-py-chatbot|enrolled","#Users|aca-dt-78-py-chatbot|opened","#Users|aca-dt-78-py-chatbot|submitted","#Users|aca-dt-78-py-chatbot|c50%","#Users|aca-dt-78-py-turtle|enrolled","#Users|aca-dt-78-py-turtle|opened","#Users|aca-dt-78-py-turtle|submitted","#Users|aca-dt-78-py-turtle|c50%","#Users|aca-dt-78-ar-sound|enrolled","#Users|aca-dt-78-ar-sound|opened","#Users|aca-dt-78-ar-sound|submitted","#Users|aca-dt-78-ar-sound|c50%","#Users|aca-dt-7-bk-geometry|enrolled","#Users|aca-dt-7-bk-geometry|opened","#Users|aca-dt-7-bk-geometry|submitted","#Users|aca-dt-7-bk-geometry|c50%","#Users|aca-dt-7-py-biology|enrolled","#Users|aca-dt-7-py-biology|opened","#Users|aca-dt-7-py-biology|submitted","#Users|aca-dt-7-py-biology|c50%","#Users|aca-dt-7-py-biology-extension|enrolled","#Users|aca-dt-7-py-biology-extension|opened","#Users|aca-dt-7-py-biology-extension|submitted","#Users|aca-dt-7-py-biology-extension|c50%","#Users|aca-dt-mini-34-bk-tree|enrolled","#Users|aca-dt-mini-34-bk-tree|opened","#Users|aca-dt-mini-34-bk-tree|submitted","#Users|aca-dt-mini-34-bk-tree|c50%","#Users|aca-dt-mini-34-bk-variables|enrolled","#Users|aca-dt-mini-34-bk-variables|opened","#Users|aca-dt-mini-34-bk-variables|submitted","#Users|aca-dt-mini-34-bk-variables|c50%","#Users|aca-dt-mini-56-bk-satellite|enrolled","#Users|aca-dt-mini-56-bk-satellite|opened","#Users|aca-dt-mini-56-bk-satellite|submitted","#Users|aca-dt-mini-56-bk-satellite|c50%","#Users|aca-dt-mini-78-py-satellite|enrolled","#Users|aca-dt-mini-78-py-satellite|opened","#Users|aca-dt-mini-78-py-satellite|submitted","#Users|aca-dt-mini-78-py-satellite|c50%","#Users|aca-dt-mini-bk-microbit-intro|enrolled","#Users|aca-dt-mini-bk-microbit-intro|opened","#Users|aca-dt-mini-bk-microbit-intro|submitted","#Users|aca-dt-mini-bk-microbit-intro|c50%","#Users|aca-dt-mini-56-bk-invaders|enrolled","#Users|aca-dt-mini-56-bk-invaders|opened","#Users|aca-dt-mini-56-bk-invaders|submitted","#Users|aca-dt-mini-56-bk-invaders|c50%","#Users|aca-dt-mini-bk-microbit-rocket|enrolled","#Users|aca-dt-mini-bk-microbit-rocket|opened","#Users|aca-dt-mini-bk-microbit-rocket|submitted","#Users|aca-dt-mini-bk-microbit-rocket|c50%"
"All Students",7002,4955,4286,578,0,0,0,0,0,0,0,0,145,133,120,63,3798,2699,2347,227,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3140,1945,1645,276,0,0,0,0,1346,532,213,33,1050,480,329,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All Teachers",944,826,538,54,0,0,0,0,0,0,0,0,17,17,7,3,638,524,396,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,644,470,324,30,0,0,0,0,613,236,59,9,491,153,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kindergarten/Preparation",2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 1",2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 2",4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 3",17,14,11,2,0,0,0,0,0,0,0,0,0,0,0,0,17,14,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,4,4,2,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 4",97,36,19,0,0,0,0,0,0,0,0,0,2,2,1,0,91,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 5",2369,1534,1402,114,0,0,0,0,0,0,0,0,7,5,1,0,2236,1513,1391,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,14,2,0,0,0,0,145,24,10,0,127,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 6",711,569,498,89,0,0,0,0,0,0,0,0,115,107,105,58,694,552,482,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,97,35,7,0,0,0,0,15,14,4,0,11,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 7",2518,1577,1347,151,0,0,0,0,0,0,0,0,7,7,6,2,519,390,328,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,917,787,97,0,0,0,0,771,198,51,3,869,428,299,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 8",863,748,665,123,0,0,0,0,0,0,0,0,9,7,3,1,98,65,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,637,596,108,0,0,0,0,126,90,36,3,14,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 9",358,285,209,57,0,0,0,0,0,0,0,0,2,2,2,2,71,66,43,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,143,132,109,25,0,0,0,0,187,126,77,23,13,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 10",176,147,106,30,0,0,0,0,0,0,0,0,0,0,0,0,47,44,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,82,64,24,0,0,0,0,62,40,22,4,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 11",65,65,39,11,0,0,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,26,11,0,0,0,0,26,26,9,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 12",16,16,10,1,0,0,0,0,0,0,0,0,1,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grade 13",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Female-gendered students",3322,2320,2086,292,0,0,0,0,0,0,0,0,62,57,54,25,1628,1191,1073,102,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1649,1091,983,171,0,0,0,0,504,171,52,6,368,110,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Male-gendered students",3584,2541,2150,275,0,0,0,0,0,0,0,0,76,69,65,38,2143,1483,1262,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,804,630,96,0,0,0,0,811,333,154,26,673,363,280,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other-gendered students",14,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,7,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown-gendered students",82,82,44,11,0,0,0,0,0,0,0,0,7,7,1,0,19,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,31,9,0,0,0,0,24,24,7,1,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0